"Phase","FLDNAME","TBLNAME","CRFNAME","TEXT","TYPE","LENGTH","CODE","UNITS","status"
"ADNIGO","USERDATE","NEUROEXM","Neurological Exam","Date record created","S","100 digits","","",""
"ADNIGO","USERID2","NEUROEXM","Neurological Exam","","T","100 characters","","",""
"ADNIGO","USERDATE2","NEUROEXM","Neurological Exam","Date record last updated","S","100 digits","","",""
"ADNIGO","NXVISUAL","NEUROEXM","Neurological Exam","1. Significant Visual Impairment","N","1","1=Absent; 2=Present","",""
"ADNIGO","NXVISDES","NEUROEXM","Neurological Exam","Details <!--Significant Visual Impairment-->","T","200","","",""
"ADNIGO","NXAUDITO","NEUROEXM","Neurological Exam","2. Significant Auditory Impairment","N","1","1=Absent; 2=Present","",""
"ADNIGO","NXAUDDES","NEUROEXM","Neurological Exam","Details <!--Significant Auditory Impairment-->","T","200","","",""
"ADNIGO","NXTREMOR","NEUROEXM","Neurological Exam","3. Tremor","N","1","1=Absent; 2=Present","",""
"ADNIGO","NXTREDES","NEUROEXM","Neurological Exam","Details <!--Tremor-->","T","200","","",""
"ADNIGO","NXCONSCI","NEUROEXM","Neurological Exam","4. Level of Consciousness","N","1","1=Normal; 2=Abnormal","",""
"ADNIGO","NXCONDES","NEUROEXM","Neurological Exam","Details <!--Level of Consciousness-->","T","200","","",""
"ADNIGO","NXNERVE","NEUROEXM","Neurological Exam","5. Cranial Nerves","N","1","1=Normal; 2=Abnormal","",""
"ADNIGO","NXNERDES","NEUROEXM","Neurological Exam","Details <!--Cranial Nerves-->","T","200","","",""
"ADNIGO","NXMOTOR","NEUROEXM","Neurological Exam","6. Motor Strength","N","1","1=Normal; 2=Abnormal","",""
"ADNIGO","NXMOTDES","NEUROEXM","Neurological Exam","Details <!--Motor Strength-->","T","200","","",""
"ADNIGO","NXFINGER","NEUROEXM","Neurological Exam","7a. Cerebellar - Finger to Nose","N","1","1=Normal; 2=Abnormal","",""
"ADNIGO","NXFINDES","NEUROEXM","Neurological Exam","Details <!--Cerebellar - Finger to Nose-->","T","200","","",""
"ADNIGO","NXHEEL","NEUROEXM","Neurological Exam","7b. Cerebellar - Heel to Shin","N","1","1=Normal; 2=Abnormal","",""
"ADNIGO","NXHEEDES","NEUROEXM","Neurological Exam","Details <!--Cerebellar - Heel to Shin-->","T","200","","",""
"ADNIGO","NXSENSOR","NEUROEXM","Neurological Exam","8. Sensory","N","1","1=Normal; 2=Abnormal","",""
"ADNIGO","NXSENDES","NEUROEXM","Neurological Exam","Details <!--Sensory-->","T","200","","",""
"ADNIGO","NXTENDON","NEUROEXM","Neurological Exam","9. Deep Tendon Reflexes","N","1","1=Normal; 2=Abnormal","",""
"ADNIGO","NXTENDES","NEUROEXM","Neurological Exam","Details <!--Deep Tendon Reflexes-->","T","200","","",""
"ADNIGO","NXPLANTA","NEUROEXM","Neurological Exam","10. Plantar Reflexes","N","1","1=Normal; 2=Abnormal","",""
"ADNIGO","NXPLADES","NEUROEXM","Neurological Exam","Details <!--Plantar Reflexes-->","T","200","","",""
"ADNIGO","NXGAIT","NEUROEXM","Neurological Exam","11. Gait","N","1","1=Normal; 2=Abnormal","",""
"ADNIGO","NXGAIDES","NEUROEXM","Neurological Exam","Details <!--Gait-->","T","200","","",""
"ADNIGO","NXOTHER","NEUROEXM","Neurological Exam","12. Other","N","1","1=Normal; 2=Abnormal","",""
"ADNIGO","NXOTHSPE","NEUROEXM","Neurological Exam","Details <!--Other-->","T","200","","",""
"ADNIGO","NXGENCOM","NEUROEXM","Neurological Exam","13. General Comments","T","1000","","",""
"ADNIGO","NXABNORM","NEUROEXM","Neurological Exam","14. Based on Neurological Examination, clinician must check appropriate box below:","N","1","1=Findings consistent with eligibility for study; 2=Participant is not eligible for study","",""
"ADNIGO","ID","NPIQ","Neuropsychiatric Inventory Q","Record ID","N","38","""crfname"",""Neuropsychiatric Inventory Q"",""indexes"",""adnigo_npiq_idx=RID,VISCODE,ENTRY"",""notnullcols"",""ID,RID,SITEID,VISCODE,ENTRY,USERID,USERDATE""","",""
"ADNIGO","SX","NPIQ","Neuropsychiatric Inventory Q","","N","10 digits","","",""
"ADNIGO","RID","NPIQ","Neuropsychiatric Inventory Q","Participant roster ID","N","38 digits","","",""
"ADNIGO","SITEID","NPIQ","Neuropsychiatric Inventory Q","Site ID","N","38 digits","","",""
"ADNIGO","VISCODE","NPIQ","Neuropsychiatric Inventory Q","Visit code","T","20 characters","","",""
"ADNIGO","VISCODE2","NPIQ","Neuropsychiatric Inventory Q","Translated visit code","T","20 characters","","",""
"ADNIGO","ENTRY","NPIQ","Neuropsychiatric Inventory Q","","N","1 digit","","",""
"ADNIGO","VERIFY","NPIQ","Neuropsychiatric Inventory Q","","N","1 digit","","",""
"ADNIGO","USERID","NPIQ","Neuropsychiatric Inventory Q","","T","100 characters","","",""
"ADNIGO","USERDATE","NPIQ","Neuropsychiatric Inventory Q","Date record created","S","100 digits","","",""
"ADNIGO","USERID2","NPIQ","Neuropsychiatric Inventory Q","","T","100 characters","","",""
"ADNIGO","USERDATE2","NPIQ","Neuropsychiatric Inventory Q","Date record last updated","S","100 digits","","",""
"ADNIGO","NPIA","NPIQ","Neuropsychiatric Inventory Q","Does {P} believe that others are stealing from him/her, or planning to harm him/her in some way?","N","1","0=No;1=Yes;2=N/A","",""
"ADNIGO","NPIASEV","NPIQ","Neuropsychiatric Inventory Q","Severity Ratings <!--A. Delusions-->","N","1","1=1 - Mild (noticeable, but not a significant change).; 2=2 - Moderate (significant, but not a dramatic change).; 3=3 - Severe (very marked or prominent. A dramatic change).","",""
"ADNIGO","NPIB","NPIQ","Neuropsychiatric Inventory Q","Does {P} act as if he/she hears voices? Does he/she talk to people who are not there?","N","1","0=No;1=Yes;2=N/A","",""
"ADNIGO","NPIBSEV","NPIQ","Neuropsychiatric Inventory Q","Severity Ratings <!--B. Hallucinations-->","N","1","1=1 - Mild (noticeable, but not a significant change).; 2=2 - Moderate (significant, but not a dramatic change).; 3=3 - Severe (very marked or prominent. A dramatic change).","",""
"ADNIGO","NPIC","NPIQ","Neuropsychiatric Inventory Q","Is {P} stubborn and resistive to help from others?","N","1","0=No;1=Yes;2=N/A","",""
"ADNIGO","NPICSEV","NPIQ","Neuropsychiatric Inventory Q","Severity Ratings <!--C. Agitation/Aggression-->","N","1","1=1 - Mild (noticeable, but not a significant change).; 2=2 - Moderate (significant, but not a dramatic change).; 3=3 - Severe (very marked or prominent. A dramatic change).","",""
"ADNIGO","NPID","NPIQ","Neuropsychiatric Inventory Q","Does {P} act as if he/she is sad or in low spirits? Does he/she cry?","N","1","0=No;1=Yes;2=N/A","",""
"ADNIGO","NPIDSEV","NPIQ","Neuropsychiatric Inventory Q","Severity Ratings <!--D. Depression/Dysphoria-->","N","1","1=1 - Mild (noticeable, but not a significant change).; 2=2 - Moderate (significant, but not a dramatic change).; 3=3 - Severe (very marked or prominent. A dramatic change).","",""
"ADNIGO","NPIE","NPIQ","Neuropsychiatric Inventory Q","Does {P} become upset when separated from you? Does he/she have any other signs of nervousness, such as shortness of breath, sighing, being unable to relax, or feeling excessively tense?","N","1","0=No;1=Yes;2=N/A","",""
"ADNIGO","NPIESEV","NPIQ","Neuropsychiatric Inventory Q","Severity Ratings <!--E. Anxiety-->","N","1","1=1 - Mild (noticeable, but not a significant change).; 2=2 - Moderate (significant, but not a dramatic change).; 3=3 - Severe (very marked or prominent. A dramatic change).","",""
"ADNIGO","NPIF","NPIQ","Neuropsychiatric Inventory Q","Does {P} appear to feel too good or act excessively happy?","N","1","0=No;1=Yes;2=N/A","",""
"ADNIGO","NPIFSEV","NPIQ","Neuropsychiatric Inventory Q","Severity Ratings <!--F. Elation/Euphoria-->","N","1","1=1 - Mild (noticeable, but not a significant change).; 2=2 - Moderate (significant, but not a dramatic change).; 3=3 - Severe (very marked or prominent. A dramatic change).","",""
"ADNIGO","NPIG","NPIQ","Neuropsychiatric Inventory Q","Does {P} seem less interested in his/her usual activities and in the activities and plans of others?","N","1","0=No;1=Yes;2=N/A","",""
"ADNIGO","NPIGSEV","NPIQ","Neuropsychiatric Inventory Q","Severity Ratings <!--G. Apathy/Indifference-->","N","1","1=1 - Mild (noticeable, but not a significant change).; 2=2 - Moderate (significant, but not a dramatic change).; 3=3 - Severe (very marked or prominent. A dramatic change).","",""
"ADNIGO","NPIH","NPIQ","Neuropsychiatric Inventory Q","Does {P} seem to act impulsively? For example, does {P} talk to strangers as if he/she knows them, or does {P} say things that may hurt people's feelings?","N","1","0=No;1=Yes;2=N/A","",""
"ADNIGO","NPIHSEV","NPIQ","Neuropsychiatric Inventory Q","Severity Ratings <!--H. Disinhibition-->","N","1","1=1 - Mild (noticeable, but not a significant change).; 2=2 - Moderate (significant, but not a dramatic change).; 3=3 - Severe (very marked or prominent. A dramatic change).","",""
"ADNIGO","NPII","NPIQ","Neuropsychiatric Inventory Q","Is {P} impatient or cranky? Does he/she have difficulty coping with delays or waiting for planned activities?","N","1","0=No;1=Yes;2=N/A","",""
"ADNIGO","NPIISEV","NPIQ","Neuropsychiatric Inventory Q","Severity Ratings <!--I. Irritability/Lability-->","N","1","1=1 - Mild (noticeable, but not a significant change).; 2=2 - Moderate (significant, but not a dramatic change).; 3=3 - Severe (very marked or prominent. A dramatic change).","",""
"ADNIGO","NPIJ","NPIQ","Neuropsychiatric Inventory Q","Does {P} engage in repetitive activities, such as pacing around the house, handling buttons, wrapping strings, or doing other things repeatedly?","N","1","0=No;1=Yes;2=N/A","",""
"ADNIGO","NPIJSEV","NPIQ","Neuropsychiatric Inventory Q","Severity Ratings <!--J. Aberrant Motor Behavior-->","N","1","1=1 - Mild (noticeable, but not a significant change).; 2=2 - Moderate (significant, but not a dramatic change).; 3=3 - Severe (very marked or prominent. A dramatic change).","",""
"ADNIGO","NPIK","NPIQ","Neuropsychiatric Inventory Q","Does {P} awaken you during the night, rise too early in the morning, or take excessive naps during the day?","N","1","0=No;1=Yes;2=N/A","",""
"ADNIGO","NPIKSEV","NPIQ","Neuropsychiatric Inventory Q","Severity Ratings <!--K. Sleep-->","N","1","1=1 - Mild (noticeable, but not a significant change).; 2=2 - Moderate (significant, but not a dramatic change).; 3=3 - Severe (very marked or prominent. A dramatic change).","",""
"ADNIGO","NPIL","NPIQ","Neuropsychiatric Inventory Q","Has {P} lost or gained weight, or had a change in the food he/she likes?","N","1","0=No;1=Yes;2=N/A","",""
"ADNIGO","NPILSEV","NPIQ","Neuropsychiatric Inventory Q","Severity Ratings <!--L. Appetite-->","N","1","1=1 - Mild (noticeable, but not a significant change).; 2=2 - Moderate (significant, but not a dramatic change).; 3=3 - Severe (very marked or prominent. A dramatic change).","",""
"ADNIGO","NPISCORE","NPIQ","Neuropsychiatric Inventory Q","Total Score","N","2","0..36","",""
"ADNIGO","SOURCE","NPIQ","Neuropsychiatric Inventory Q","Information Source","N","1","1=Participant Visit;2=Telephone Call","",""
"ADNIGO","ID","PACKETS","","Record ID","N","38","""crfname"","""",""indexes"",""adnigo_packets_idx=TBLNAME,VISCODE,Q4A_WHITE,GROUPID"",""notnullcols"",""ID,TBLNAME,VISCODE,Q4A_WHITE,GROUPID""","",""
"ADNIGO","SX","PACKETS","","","N","10","","",""
"ADNIGO","TBLNAME","PACKETS","","","T","20","","",""
"ADNIGO","OBJID","PACKETS","","","N","38","","",""
"ADNIGO","VISCODE","PACKETS","","Visit code","T","20","","",""
"ADNIGO","VISCODE2","PACKETS","","Translated visit code","T","20","","",""
"ADNIGO","ORDERID","PACKETS","","","N","38","","",""
"ADNIGO","Q4A_PINK","PACKETS","","","N","2","","",""
"ADNIGO","Q4R_PINK","PACKETS","","","N","2","","",""
"ADNIGO","Q4A_WHITE","PACKETS","","","N","2","","",""
"ADNIGO","Q4R_WHITE","PACKETS","","","N","2","","",""
"ADNIGO","GROUPID","PACKETS","","","N","38","","",""
"ADNIGO","SIGN","PACKETS","","","N","1","","",""
"ADNIGO","STATUS","PACKETS","","","N","1","","",""
"ADNIGO","ID","PETMETA","FDG PET Scan Information","Record ID","N","38","""crfname"",""FDG PET Scan Information"",""indexes"",""adnigo_petmeta_idx=RID,VISCODE,ENTRY,RECNO"",""notnullcols"",""ID,RID,SITEID,VISCODE,ENTRY,USERID,USERDATE,RECNO""","",""
"ADNIGO","SX","PETMETA","FDG PET Scan Information","","N","10 digits","","",""
"ADNIGO","RID","PETMETA","FDG PET Scan Information","Participant roster ID","N","38 digits","","",""
"ADNIGO","SITEID","PETMETA","FDG PET Scan Information","Site ID","N","38 digits","","",""
"ADNIGO","VISCODE","PETMETA","FDG PET Scan Information","Visit code","T","20 characters","","",""
"ADNIGO","VISCODE2","PETMETA","FDG PET Scan Information","Translated visit code","T","20 characters","","",""
"ADNIGO","ENTRY","PETMETA","FDG PET Scan Information","","N","1 digit","","",""
"ADNIGO","VERIFY","PETMETA","FDG PET Scan Information","","N","1 digit","","",""
"ADNIGO","USERID","PETMETA","FDG PET Scan Information","","T","100 characters","","",""
"ADNIGO","USERDATE","PETMETA","FDG PET Scan Information","Date record created","S","100 digits","","",""
"ADNIGO","USERID2","PETMETA","FDG PET Scan Information","","T","100 characters","","",""
"ADNIGO","USERDATE2","PETMETA","FDG PET Scan Information","Date record last updated","S","100 digits","","",""
"ADNIGO","RECNO","PETMETA","FDG PET Scan Information","","N","38 digits","","",""
"ADNIGO","PMCONDCT","PETMETA","FDG PET Scan Information","Was the scan conducted?","N","1","1=Yes;0=No","",""
"ADNIGO","PMREASON","PETMETA","FDG PET Scan Information","Reason why the scan was not conducted:","N","1","1=Illness;2=Participant unavailable;3=Participant unwilling;4=Administrative problems;5=Withdrawn consent;6=Other (specify)","",""
"ADNIGO","PMOTHSPE","PETMETA","FDG PET Scan Information","If Other, specify:","T","100","","",""
"ADNIGO","EXAMDATE","PETMETA","FDG PET Scan Information","Scan Date","D","10","","",""
"ADNIGO","EXAMINIT","PETMETA","FDG PET Scan Information","Technologist Initials","T","3","","",""
"ADNIGO","PMSCANNER","PETMETA","FDG PET Scan Information","GE","T","20","1=check here","",""
"ADNIGO","PMGEMODEL","PETMETA","FDG PET Scan Information","If GE, Scanner Model:","N","1","1=Advance;2=Discovery LS;3=Discovery ST;4=Discovery RX;5=Discovery STE/VCT","",""
"ADNIGO","PMSIEMENS","PETMETA","FDG PET Scan Information","Siemens/CTI","T","20","1=check here","",""
"ADNIGO","PMSIEMODEL","PETMETA","FDG PET Scan Information","If Siemens/CTI, Scanner Model:","N","1","1=ACCEL/EXACT;2=Biograph (Model 1023/1024);8=Biograph HiRes (Model 1080);3=BioGraph TruePoint (Model 1093/1094);4=BioGraph mCT;6=HR+;7=HRRT","",""
"ADNIGO","PMPHILLIPS","PETMETA","FDG PET Scan Information","Phillips","T","20","1=check here","",""
"ADNIGO","PMPHMODEL","PETMETA","FDG PET Scan Information","If Phillips, Scanner Model:","N","1","1=Allegro;3=Gemini;4=Gemini-GXL;5=Gemini-TF","",""
"ADNIGO","PMQCTIME","PETMETA","FDG PET Scan Information","Time of today's Scanner QC","T","8","","",""
"ADNIGO","PMBLTIME","PETMETA","FDG PET Scan Information","Time of blood glucose measurement","T","8","","",""
"ADNIGO","PMBLGLUC","PETMETA","FDG PET Scan Information","Blood Glucose (pre-FDG)","N","3","","",""
"ADNIGO","PMFDGTIME","PETMETA","FDG PET Scan Information","Time of FDG dose assay","T","8","","",""
"ADNIGO","PMFDGDOS","PETMETA","FDG PET Scan Information","FDG dose assay","N","3,1","","",""
"ADNIGO","PMFDGVOL","PETMETA","FDG PET Scan Information","FDG Volume","N","3,1","","",""
"ADNIGO","PMINJTIME","PETMETA","FDG PET Scan Information","Time of FDG injection","T","8","","",""
"ADNIGO","PMGLUCOM","PETMETA","FDG PET Scan Information","Provide an explanation if blood glucose was measured after the FDG injection:","T","1000","","",""
"ADNIGO","PMSCTIME","PETMETA","FDG PET Scan Information","Emission Scan Start Time:","T","8","","",""
"ADNIGO","PMSCANCOM","PETMETA","FDG PET Scan Information","<b>Target start time is 30 min FDG post-injection.</b>  Provide an explanation if start time is not between <b>28</b> and <b>32</b> min post-injection.","T","1000","","",""
"ADNIGO","PMVARIAT","PETMETA","FDG PET Scan Information","Any variations from protocol during FDG uptake?","N","1","1=Yes; 0=No","",""
"ADNIGO","PMVARSP","PETMETA","FDG PET Scan Information","If Yes, describe:","T","300","","",""
"ADNIGO","PMPROTID","PETMETA","FDG PET Scan Information","Predefined Acquisition Protocol ID:","T","100","","",""
"ADNIGO","PMFRAME","PETMETA","FDG PET Scan Information","Which framing rate was used?","N","2","1=6 frames, 5 min/frame (6x300s);3=2 scans, 15 min each (2x900s) (only for BioGraph scanners without list-mode)","",""
"ADNIGO","PMDEVIAT","PETMETA","FDG PET Scan Information","If any deviations, describe:","T","300","","",""
"ADNIGO","PMMOTION","PETMETA","FDG PET Scan Information","Subject motion problems:","N","1","1=Yes;0=No","",""
"ADNIGO","PMMOTSP","PETMETA","FDG PET Scan Information","If yes, describe:","T","300","","",""
"ADNIGO","PMMALFUN","PETMETA","FDG PET Scan Information","Scanner malfunction","N","1","1=Yes;0=No","",""
"ADNIGO","PMMALSP","PETMETA","FDG PET Scan Information","If yes, describe:","T","300","","",""
"ADNIGO","PMOTHER","PETMETA","FDG PET Scan Information","Other protocol variations:","N","1","1=Yes;0=No","",""
"ADNIGO","PMOTHSP","PETMETA","FDG PET Scan Information","If yes, describe:","T","300","","",""
"ADNIGO","PMRECON","PETMETA","FDG PET Scan Information","Check which of the following reconstructions was used:","N","1","2=FORE/2D-OSEM (Siemens);4=OSEM3D (Siemens) (If HRRT scanners using OP, please select OSEM3D);5=3D Iterative (GE);1=3D-Ramla (Philips);3=3D Back-projection (GE)","",""
"ADNIGO","PMSUBSET","PETMETA","FDG PET Scan Information","# subsets:","N","2","14=14;16=16;20=20;99=Other","",""
"ADNIGO","PMSUBSPE","PETMETA","FDG PET Scan Information","If Other, specify","N","2","","",""
"ADNIGO","PMITERAT","PETMETA","FDG PET Scan Information","# iterations:","N","2","4=4;6=6;99=Other","",""
"ADNIGO","PMITERSPE","PETMETA","FDG PET Scan Information","If Other, specify:","N","2","","",""
"ADNIGO","PMRAMLA","PETMETA","FDG PET Scan Information","Lambda=","N","4,3","","",""
"ADNIGO","PMFILTER","PETMETA","FDG PET Scan Information","If 3D Back-Projection, Ramp filter?","T","20","1=Check here to confirm","",""
"ADNIGO","PMMODEON","PETMETA","FDG PET Scan Information","If FORE/2D-OSEM select one of the following:","N","20","1=Brain Mode ""ON"" for PET-only Siemens scanners;2=TRIM ""ON"" for PET/CT Siemens scanners (older software version); 3=TRIM not available for PET/CT scanners (new software versions)","",""
"ADNIGO","PMSMOOTH","PETMETA","FDG PET Scan Information","No post-process smoothing:","T","20","1=Check here to confirm","",""
"ADNIGO","PMATTEN","PETMETA","FDG PET Scan Information","Attenuation Correction:","N","1","1=CT; 2=Ge-68+Segmentation;3=Cs-137+Segmentation","",""
"ADNIGO","PMTRNSFR","PETMETA","FDG PET Scan Information","Was data transferred to LONI within 24 hours of scan?","N","1","1=Yes;0=No","",""
"ADNIGO","PMTRNDATE","PETMETA","FDG PET Scan Information","Transfer Date","D","10","","",""
"ADNIGO","PMTRNCOM","PETMETA","FDG PET Scan Information","Comments","T","1000","","",""
"ADNIGO","PMARCHIVE","PETMETA","FDG PET Scan Information","Was all raw PET data archived locally to be able to do complete reconstruction of PET Scan if needed?","N","1","1=Yes;0=No","",""
"ADNIGO","PMARCMED","PETMETA","FDG PET Scan Information","Archive Medium","T","100","","",""
"ADNIGO","PMARCCOM","PETMETA","FDG PET Scan Information","Comments","T","1000","","",""
"ADNIGO","PMLPDONE","PETMETA","FDG PET Scan Information","Was a Lumbar Puncture completed prior to the PET scan?","N","1","1=Yes;0=No","",""
"ADNIGO","PMLPINTER","PETMETA","FDG PET Scan Information","If Yes, What was the interval between LP and PET?","N","1","1=less than 6 hours;2=6-12 hours;3=13-24 hours;4=25-48 hours;5=49-72 hours;6=more than 72 hours","",""
"ADNIGO","PMSHARP","PETMETA","FDG PET Scan Information","Was ""Smooth"" parameter set to ""Sharp""?","T","20","1=Check here to confirm","",""
"ADNIGO","ID","PETQC","FDG PET QC Tracking","Record ID","N","38","""crfname"",""FDG PET QC Tracking"",""indexes"",""adnigo_petqc_idx=RID,VISCODE,ENTRY,RECNO"",""notnullcols"",""ID,RID,SITEID,VISCODE,ENTRY,USERID,USERDATE,RECNO""","",""
"ADNIGO","SX","PETQC","FDG PET QC Tracking","","N","10 digits","","",""
"ADNIGO","RID","PETQC","FDG PET QC Tracking","Participant roster ID","N","38 digits","","",""
"ADNIGO","SITEID","PETQC","FDG PET QC Tracking","Site ID","N","38 digits","","",""
"ADNIGO","VISCODE","PETQC","FDG PET QC Tracking","Visit code","T","20 characters","","",""
"ADNIGO","VISCODE2","PETQC","FDG PET QC Tracking","Translated visit code","T","20 characters","","",""
"ADNIGO","ENTRY","PETQC","FDG PET QC Tracking","","N","1 digit","","",""
"ADNIGO","VERIFY","PETQC","FDG PET QC Tracking","","N","1 digit","","",""
"ADNIGO","USERID","PETQC","FDG PET QC Tracking","","T","100 characters","","",""
"ADNIGO","USERDATE","PETQC","FDG PET QC Tracking","Date record created","S","100 digits","","",""
"ADNIGO","USERID2","PETQC","FDG PET QC Tracking","","T","100 characters","","",""
"ADNIGO","USERDATE2","PETQC","FDG PET QC Tracking","Date record last updated","S","100 digits","","",""
"ADNIGO","RECNO","PETQC","FDG PET QC Tracking","","N","38 digits","","",""
"ADNIGO","SCAN","PETQC","FDG PET QC Tracking","Scan","N","2","1=Original Scan;2=Rescan","",""
"ADNIGO","EXAMDATE","PETQC","FDG PET QC Tracking","FDG Scan Date","D","10","","",""
"ADNIGO","PQFILENO","PETQC","FDG PET QC Tracking","Upload Number","N","3","1..25","",""
"ADNIGO","PQDATTRA","PETQC","FDG PET QC Tracking","Date images uploaded to LONI","D","10","","",""
"ADNIGO","LONIUID","PETQC","FDG PET QC Tracking","LONI Unique Series ID","T","8","","",""
"ADNIGO","PQDATE","PETQC","FDG PET QC Tracking","Date reviewed","D","10","","",""
"ADNIGO","PQINIT","PETQC","FDG PET QC Tracking","Reviewer Initials","T","3","","",""
"ADNIGO","PQACQFR","PETQC","FDG PET QC Tracking","Acquisition","N","2","1=6 frames, 5 min/frame;2=2 scans, 15 min each","",""
"ADNIGO","PQCORALG","PETQC","FDG PET QC Tracking","Correct Reconstruction Algorithm?","N","2","1=Yes;0=No","",""
"ADNIGO","PQRECON","PETQC","FDG PET QC Tracking","Check which of the following reconstruction algorithms was used","N","2","2=FORE/2D-OSEM (Siemens);4=OSEM3D (Siemens);5=3D Iterative (GE);1=3D-Ramla (Philips);3=3D Back-projection (GE)","",""
"ADNIGO","PQCORNUM","PETQC","FDG PET QC Tracking","If FORE/2D-OSEM, OSEM3D, or 3D Iterative, correct # subsets and iterations?","N","2","1=Yes;0=No","",""
"ADNIGO","PQCORFIL","PETQC","FDG PET QC Tracking","Correct Filters/TRIM?","N","2","1=Yes;0=No","",""
"ADNIGO","PQCORTHI","PETQC","FDG PET QC Tracking","Correct Slice Thickness (PET/CT systems)?","N","2","1=Yes;0=No;2=N/A (PET only system)","",""
"ADNIGO","PQVOXEL","PETQC","FDG PET QC Tracking","Acceptable Voxel Size?","N","2","1=Yes;0=No","",""
"ADNIGO","PQALLFRAME","PETQC","FDG PET QC Tracking","Were all frames acceptable?","N","1","1=Yes;0=No","",""
"ADNIGO","PQUNUSABLE","PETQC","FDG PET QC Tracking","Indicate which frames were unacceptable:","T","100","","",""
"ADNIGO","PQREASON","PETQC","FDG PET QC Tracking","Indicate why frames were unacceptable:","T","20","1=Subject motion;2=Other (Please Specify)","",""
"ADNIGO","PQREASSP","PETQC","FDG PET QC Tracking","If Other, Specify:","T","100","","",""
"ADNIGO","PASS","PETQC","FDG PET QC Tracking","Pass QC?","N","1","1=Yes;0=No","",""
"ADNIGO","PQPROERR","PETQC","FDG PET QC Tracking","A. Processing Error(s)","T","40","1=Incorrect reconstruction algorithm;2=Incorrect filtering;3=Incorrect slice thickness;4=Incorrect voxel size;5=Attenuation Error;6=Normalization Error;7=Inadequate counts;8=Inadequate field of view;9=Incorrect acquisition protocol;10=Unfixable image artifact (e.g. attenuation, normalization, etc.);99=Other (specify)","",""
"ADNIGO","PQERRSP","PETQC","FDG PET QC Tracking","Specify","T","500","","",""
"ADNIGO","PQACTION","PETQC","FDG PET QC Tracking","B. QC outcome","N","2","1=Request Reprocessing;2=Request Rescan;3=Unusable - Don't request rescan (provide details);4=Allow Rescan (rescan not requested)","",""
"ADNIGO","PQNONESP","PETQC","FDG PET QC Tracking","If unusable, reason for not rescanning","T","500","","",""
"ADNIGO","PQISSUES","PETQC","FDG PET QC Tracking","Imaging issues","T","80","1=Motion - minimal;2=Motion - mild;3=Motion - mild-to-moderate;4=Motion - moderate;5=Motion - moderate-to-severe;6=Top Cutoff - none;7=Top Cutoff - 0-3mm;8=Top Cutoff - 3-6mm;9=Top Cutoff - 6-9mm;10=Top Cutoff - >9mm;11=Bottom Cutoff - none;12=Bottom Cutoff - 0-3mm;13=Bottom Cutoff - 3-6mm;14=Bottom Cutoff - 6-9mm;15=Bottom Cutoff - >9mm;99=Other (specify)","",""
"ADNIGO","PQISSOTH","PETQC","FDG PET QC Tracking","Other, specify","T","100","","",""
"ADNIGO","COMMENTS","PETQC","FDG PET QC Tracking","Additional QC Comments","T","1000","","",""
"ADNIGO","QUARANTINE","PETQC","FDG PET QC Tracking","Release from quarantine?","N","1","1=Yes;0=No","",""
"ADNIGO","PAYSITE","PETQC","FDG PET QC Tracking","Pay Site?","N","1","1=Yes;0=No","",""
"ADNIGO","ID","PHYSICAL","Physical Exam","Record ID","N","38","""crfname"",""Physical Exam"",""indexes"",""adnigo_physical_idx=RID,VISCODE,ENTRY"",""notnullcols"",""ID,RID,SITEID,VISCODE,ENTRY,USERID,USERDATE""","",""
"ADNIGO","SX","PHYSICAL","Physical Exam","","N","10 digits","","",""
"ADNIGO","RID","PHYSICAL","Physical Exam","Participant roster ID","N","38 digits","","",""
"ADNIGO","SITEID","PHYSICAL","Physical Exam","Site ID","N","38 digits","","",""
"ADNIGO","VISCODE","PHYSICAL","Physical Exam","Visit code","T","20 characters","","",""
"ADNIGO","VISCODE2","PHYSICAL","Physical Exam","Translated visit code","T","20 characters","","",""
"ADNIGO","ENTRY","PHYSICAL","Physical Exam","","N","1 digit","","",""
"ADNIGO","VERIFY","PHYSICAL","Physical Exam","","N","1 digit","","",""
"ADNIGO","USERID","PHYSICAL","Physical Exam","","T","100 characters","","",""
"ADNIGO","USERDATE","PHYSICAL","Physical Exam","Date record created","S","100 digits","","",""
"ADNIGO","USERID2","PHYSICAL","Physical Exam","","T","100 characters","","",""
"ADNIGO","USERDATE2","PHYSICAL","Physical Exam","Date record last updated","S","100 digits","","",""
"ADNIGO","PXGENAPP","PHYSICAL","Physical Exam","1. General Appearance","N","1","1=Normal; 2=Abnormal","",""
"ADNIGO","PXGENDES","PHYSICAL","Physical Exam","Details <!--General Appearance-->","T","200","","",""
"ADNIGO","PXHEADEY","PHYSICAL","Physical Exam","2. Head, Eyes, Ears, Nose and Throat","N","1","1=Normal; 2=Abnormal","",""
"ADNIGO","PXHEADDE","PHYSICAL","Physical Exam","Details <!--Head, Eyes, Ears, Nose and Throat-->","T","200","","",""
"ADNIGO","PXNECK","PHYSICAL","Physical Exam","3. Neck","N","1","1=Normal; 2=Abnormal","",""
"ADNIGO","PXNECDES","PHYSICAL","Physical Exam","Details <!--Neck-->","T","200","","",""
"ADNIGO","PXCHEST","PHYSICAL","Physical Exam","4. Chest","N","1","1=Normal; 2=Abnormal","",""
